S.No,Statename,TimeStamp,NEWS SECTION,PLACE,NEWS HEADER,NEWS CONTENT
0,Andhra Pradesh,"May 06, 2020 23:33 IST",Andhra Pradesh,ANANTAPUR,"1,800 migrants shifted in buses from Guntakal Railway station","The Anantapur Region of the APSRTC operated 47 special buses from Guntakal railway station in the district to ferry 1,800 migrant labourers, who arrived in a Shramik Rail from Mumbai, to various destinations in Ballari, Kurnool and Anantapur districts on Wednesday.Migrant labourers hailing from this region came in a 24-coach special train from Mumbai to Guntakal and arrangements were made on the platform to screen the health of all persons arriving here before they boarded their designated buses. While originally only buses were to be run to Kurnool and Anantapur, the Ballari Deputy Commissioner requested the officials here to send people to Karnataka also and the RTC obliged.APSRTC Regional Manager Sumanth R. Adoni said that while three buses went to three different villages in Kurnool and two to Ballari, the remaining were operated to different quarantine centres at various places in Anantapur district. On Saturday last, two buses were arranged from Puttaparthi to Baruch and Rajkot in Gujarat for transportation of stranded people at Puttaparthi, after getting approvals from the district administration at both ends."
1,Andhra Pradesh,"May 06, 2020 23:40 IST",Andhra Pradesh,VISAKHAPATNAM,GVMC sets up 24x7 call centres,"GVMC has announced setting up of 24x7 call centres to receive complaints on interruptions in water supply, bore-well repairs andleakages according to a GVMC release. The call centres can be reached on 0891-2869127 and toll-free 1800-4250-0009.Officials responsible for redress are the following: Executive Engineer (9951532875) for Zone I, II and Bhimili comprising Tagarapuvalasa, Bhimili, Marikavalasa, Madhurawada, Endada, Arilova, M V P Colony and Waltair from Ward 1 to 18.Executive Engineer (7729995962) for Zones III and IV comprising One Town, Tatichetlapalem, Allipuram, Daba Gardens, Sitampeta, Akkayyapalem, Dondaparti, Madhavadhara, Muralinagar, Kancharapalem, Marripalem and Prahladapuram (Wards 19 to 49).Executive Engineer (8187898428) for Zone V, VI and Anakapalli comprising Sheelanagar, Nathayyapalem, BHPV, Aganampudi, Gopalapatnam, Simhachalam, Pendurti and Anakapalli (Wards 50 to 72)."
2,Andhra Pradesh,"March 23, 2020 20:05 IST",Visakhapatnam,VISAKHAPATNAM,All public places will remain closed till March 31: Police Commissioner,"Commissioner of Police Rajeev Kumar Meena has issued a note for public here on Monday, as part of the lockdown.As per the order, all public places such as Central Park, VUDA Park, Museum, Beach Road and Kailsagiri will remain closed till March 31.Places where essential commodities are available such as rythu bazaar, ration shops and provision stores, including mom and pop stores in the neighbourhood, will remain open.Public transport is shut till further orders and Section 144 will be in force across the district.People should remain at homes and they will be allowed only to bring essential commodities for home. Office staff working in hospitals, government offices, banks, LIC and others such institutions will be allowed with valid ID cards. Petrol pumps will remain open. Control room will be kept open 24/7 and can be reached through the following numbers: 0891- 2565454 or 2787819 or 94906 24787.Any person violating the order will be booked under IPC Section 188 or Section 269. Earlier, in the day one person who was advised home quarantine in Arilova Police Station limits, was found moving outside. Based on an information by the locals to the control room, he was sent to the Government Hospital for Chest and Communicable Diseases. The Police Commissioner urged the public to cooperate and follow the protocol, failing which action will be initiated."
3,Andhra Pradesh,"March 24, 2020 01:40 IST",Andhra Pradesh,ANANTAPUR,"BSNL FTTH, broadband services affected in Anantapur","The Bharat Sanchar Nigam Limited employees faced a predicament as they were forced to visit houses of subscribers who lodged complaints, and they had to work as they are under essential services.On Monday afternoon, the Fiber To The Home (FTTH) high-speed internet services in Anantapur district got disrupted along with some broadband services as the internet gateway at Bengaluru came under severe bandwidth stress as the load increased manifold with a majority of employees working from home.As part of COVID-19 containment measures, people in Anantapur city remained at home and tried to connect through the FTTH and broadband services, but after 2 p.m. the bandwidth (actual speed of downloading from internet) started falling and stopped at 4.15 p.m.The gateway upgradation and internet services restoration was likely to happen late in the night.BSNL Senior General Manager Y. Siva Shankar Reddy said ordinary internet services through copper wired connections were functioning well and maintenance staff were attending to complaints.The staff were moving around wearing masks and working with gloves wherever possible. However, they were worried as they could get infected while handling so many instruments, checking several others and speaking to customers directly."
4,Andhra Pradesh,"March 24, 2020 01:32 IST",Andhra Pradesh,CHITTOOR,MLA decries public gatherings despite lockdown in Tirupati,"Tirupati MLA Bhumana Karunakar Reddy on Monday expressed concern about the huge public gatherings at several places in the city in spite of the State-wide lockdown to combat COVID-19.Karunakar Reddy, accompanied by the Municipal Commissioner P.S. Girisha, went round several crowded junctions in the pilgrim city and urged people to disperse and cooperate with the lockdown to tackle the dreaded coronavirus. During the inspections, the civic authorities were shocked to find many shops open and several roadside businesses going on briskly. “It is really alarming to notice more than 40,000 people forming big groups at all public places and business centres, without caring about the precautions to prevent the spread of the virus,” Mr. Reddy told the media.Quarantine cases At present, close to 200 COVID-19 suspect cases were under quarantine in Chittoor district, while the presence of about 500 foreign returnees was registered. “At this juncture, as we are passing through the second stage of the virus spread, the public should exercise great caution, but it is badly missing,” Mr. Reddy said.“Considering the seriousness of the situation, I urge the public to cooperate with the State-wide lockdown and join the mission against COVID-19,” the MLA said."
5,Andhra Pradesh,"March 24, 2020 01:28 IST",Andhra Pradesh,CHITTOOR,Mad rush for vegetables in Chittoor,"A day after the Janata Curfew, it was a mad rush of people at all vegetable markets, grocery and medical shops all over the district right from the early hours of Monday. The first target of the public was vegetable markets, buying whatever variety they could lay their hands on, unmindful of the sudden jump in the prices. In Chittoor, the vegetable market was flooded with people, leading to exhaustion of stocks by afternoon. In case of essential commodities, several supermarkets saw huge crowds initially, but following assurance that they would be exempted from the lockdown, the crowds gradually thinned.The immediate impact of the lockdown was felt on tomato, which was sold at ₹40 a kg on Monday, as against ₹15 on Saturday. The price for the second grade variety stood at ₹14 a kg, showing a jump of ₹5. At several markets in the district, tomatoes sold like hotcakes. The price of 4 kg onions jumped to ₹100 from ₹50. The prices of regular vegetables like brinjal, carrot, ladies’ fingers and several gourds doubled. As the ginger stocks started exhausting, consumers competed to have their portion, paying whatever price the vendor demanded.No takers for fruitsInterestingly, there were no takers for fruits and vendors struggled to dispose them of at throwaway prices. “During March 15-20 period, several vendors across the district procured the first batch of musk melon and hoped for a good price. But our hopes were dashed. We were forced to sell them in haste just to get back our investment. The virus scare reduced the interest among public on fruits. Large stocks with us have perished,” Anwar, a vendor in Nagari, said.Separate zones Meanwhile, in order to tackle the problem of public congregations, the municipal authorities decided to create five separate zones for selling vegetables in Chittoor. The COVID-19 scare impacted the meat, poultry and fish markets, which remained closed all over the district."
6,Andhra Pradesh,"March 25, 2020 00:50 IST",Andhra Pradesh,VIJAYAWADA,Caution on use of hydroxychloroquine,"In the wake of reports in a section of media that hydroxychloroquine can be used to prevent coronavirus, the State government has issued an advisory cautioning the people that there is no truth in the reports.Use of hydroxychloroquine can lead to complications. The Indian Council of Medical Research (ICMR) has categorically stated that the medicine should be administered to patients who are suffering from coronavirus. The staff on duty who were treating COVID-19 patients were using the medicine, which had to be taken under a doctor's supervision.People were requested to understand that it would not be safe to take hydroxychloroquine on their own, the government said in a press release."
7,Andhra Pradesh,"March 25, 2020 00:38 IST",Visakhapatnam,VISAKHAPATNAM,Officials identifying high-risk areas in district: Health Minister,"To mitigate the COVID-19 scare, the officials are identifying high risk areas across the district to take additional precautions to make sure all the people who were asked to be under home quarantine in those localities are following the norms.According to Health Minister Alla Kali Krishna Srinivas, Seethammadhara has been identified as high risk area with as many as 649 foreign returnees followed by Gajuwaka and then Anakapalle. “High risk areas does not mean that those living in that area is risky, but the officials need to have strict vigil over the people who are placed under home quarantine in the areas. Meanwhile, the Police Department should also ensure proper enforcement in those areas during this lockdown period,” the Minister said during the review meet on Tuesday. Responding to the Minister, District Collector V. Vinay Chand also said that they are identifying all areas where about 100 or more number of foreign returnees are under home quarantine and make sure the areas are under proper vigil. The district administration will implement lockdown more strictly, he assured.Panic complaintsAccording to the officials, the control rooms set up for COVID-19 in the district are receiving hundreds of calls on a daily basis from public across various areas. Most of the phone calls are believed to be from panicked public complaining about foreign returnees in their localities and asking the officials to shift them to hospital.“The control room has received nearly 580 phone calls in the last couple of days, in which most of the calls are from public who have panicked over the presence of foreign returnee in their area. They ask us to shift the foreign returnees in their locality to quarantine or isolation, fearing that virus will be spread in the locality,” said District Collector V. Vinay Chand.The Collector said that public should understand that if a person returns from abroad, it does not mean that he/she is infected with virus. He explained that any foreign returnee is being asked to isolate himself in the house initially. They would be shifted to isolation wards, only if develops symptoms as per procedure. The district administration is making sure all the foreign returnees are following the norm, he added."
8,Andhra Pradesh,"March 25, 2020 01:06 IST",Andhra Pradesh,CHITTOOR,Police resort to mild lathicharge in Chittoor,"Superintendent of Police S. Senthil Kumar on Tuesday made a whirlwind inspection of the public places in Chittoor Municipal Corporation and surrounding mandals, enforcing the COVID-19 nationwide lockdown. Cases were booked against 112 violators under various sections of the IPC.Following reports of non-cooperation from the public to the COVID-19 lockdown, the SP along with senior police officers manned both the arterial junctions and the narrow streets of Chittoor, urging the public to comply with the lockdown norms in order to prevent the spread of the virus.Tension prevailed at Jyothi Talkies area in Tirupati when police resorted to a mild lathicharge to prevent the gathering of public on the roads, particularly youths who were triple-riding on motorcycles.There were no signs of a lockdown till afternoon, when the police entered the scene and went about putting up barricades. From 2 p.m., all public places gradually became deserted.Inspections were conducted at MSR Circle, Dargah junction, Santhapeta, Kongareddipalle, Church Street and other busy locations, apart from Gudipala and GD Nellore mandals. Mr. Senthil Kumar said that residents have no option but to cooperate with the police and stay indoors till March 31. “Keeping in view the importance of essential commodities, we are allowing just one person from each family to fulfill their requirement within the stipulated time. Considering the public safety and guidelines of the lockdown exercise, the violators would be brought to book,” the SP said.Police personnel at Satyavedu, Nagalapuram, Nagari, and Karveti Nagaram in the eastern mandals and at Bangarupalem, Palamaner and Kuppam circles had sealed the borders with Tamil Nadu and barred the entry and exit of the vehicles at the border checkposts, except for the essential commodities. The lockdown was complete on all national highways passing through the district. The border with Karnataka at Punganur, Palamaner, Shantipuram and B. Kothakota was also kept under strict surveillance.Meanwhile, Tirupati Urban Development Authority (TUDA) chairman and MLA Chevireddi Bhaskar Reddy arranged distribution of about 3.4 lakh sanitiser bottles for the families of Chandragiri assembly constituency. The MLA, who formally launched the distribution at Tummalagunta village near Tirupati, said that the distribution would cover a population of 4.84 lakh consisting of 1.42 lakh households in the constituency. Chittoor MP N. Reddappa was also present. They urged the public to comply with the COVID-19 lockdown."
9,Andhra Pradesh,"March 25, 2020 23:18 IST",Visakhapatnam,VISAKHAPATNAM,Sanitation staff scared of working at COVID-19 quarantine facilities,"Even as three positive coronavirus cases have been reported from the city and the number of people under quarantine are increasing gradually, the quarantine facilities set up for the suspects are allegedly facing issues related to food and sanitation. A few pictures of food parcels being given to the people placed under quarantine at Visakha Institute of Medical Sciences (VIMS) surfaced on social media platforms a couple of days ago and the district administration faced criticism for providing food in polythene packets. On March 23, when Tourism Minister M. Srinivasa Rao visited the quarantine facility at VIMS, a few persons pointed out poor sanitation, especially when it came to maintenance of toilets. It is learnt that the quarantine facility at the Government Hospital for Chest and Communicable Diseases (GHCCD) has similar issues which were discussed during a review meet conducted by Health Minister Alla Kali Krishna Srinivas on March 24. The Minister took a serious note of this and instructed the authorities concerned to initiate immediate measures.Staff crunchIn response to the issues related to poor sanitation, Joint Collector M. Venugopal Reddy said that many sanitation staff were frightened to attend duties at the quarantine facility at VIMS and at the isolation ward at GHCCD due to coronavirus scare. “We will allay their fears by providing safety gears and explaining them about the situation,” the Joint Collector has assured to the Minister.According to Mr. Srinivasa Rao, sanitation workers of the GVMC are scared because they are short of masks, hand sanitisers and safety gears. “Several unions of the sanitary workers have complained that the civic officials are not bothered though they work round the clock. The GVMC needs to provide basic facilities to the workers,” the Minister said.Collector responds GVMC Commissioner (in-charge) P. Koteswara Rao assured to sort out the issue immediately. “Many sanitation workers are not able to attend duties due to transportation issues. We will sort out the issue by make proper arrangements,” he said.Responding to the allegations pertaining to poor quality food, Collector V. Vinay Chand said that the packing was bad. “The food quality is really good. It was just about the poor packing. We have already asked the supplier to change the packing procedure immediately,” Mr. Chand said."
